# Rime user dictionary
#@/db_name	clover
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	16526
#@/user_id	windows11-caoayu-pc-i512400
a 	啊	c=99 d=2.19152 t=16526
a li 	阿里	c=4 d=0.0130365 t=16526
a li yun 	阿里云	c=4 d=0.0132336 t=16526
a se 	阿瑟	c=1 d=0.99005 t=16526
a wo 	啊我	c=1 d=2.58703e-06 t=16526
a yi 	阿姨	c=1 d=0.00113061 t=16526
a ying gai neng 	啊应该能	c=1 d=1.7561e-07 t=16526
ai 	艾	c=1 d=0.0968105 t=16526
ai de gong yang 	爱的供养	c=1 d=0.818731 t=16526
ai qi yi 	爱奇艺	c=2 d=1.33866e-12 t=16526
ai wo 	爱我	c=1 d=0.66365 t=16526
an 	按	c=6 d=0.0701679 t=16526
an jian 	按键	c=1 d=0.140156 t=16526
an li 	案例	c=1 d=0.00932553 t=16526
an li shuo 	按理说	c=2 d=0.00597602 t=16526
an niu 	按钮	c=3 d=0.000208881 t=16526
an quan 	安全	c=3 d=0.063609 t=16526
an shan 	鞍山	c=1 d=6.64102e-09 t=16526
an wo 	安卧	c=1 d=5.2249e-11 t=16526
an xin 	安心	c=1 d=0.427415 t=16526
an zhao 	按照	c=1 d=0.000934966 t=16526
an zhuang 	安装	c=15 d=0.951229 t=16526
an zhuang ji ke 	安装即可	c=1 d=2.6e-06 t=16526
an zhuo 	安卓	c=1 d=7.15703e-07 t=16526
ang 	昂	c=0 d=0.000293808 t=16526
ao 	奥	c=0 d=0.0458406 t=16526
ao 	熬	c=1 d=0.110251 t=16526
ao ao 	嗷嗷	c=15 d=0.236083 t=16526
ao kou 	拗口	c=1 d=0.000880518 t=16526
ao le 	熬了	c=1 d=0.000177774 t=16526
ao ye 	熬夜	c=2 d=2.67141e-14 t=16526
ba 	吧	c=150 d=2.70611 t=16526
ba 	把	c=43 d=1.54034 t=16526
ba 	爸	c=0 d=0.000194013 t=16526
ba dao 	拔刀	c=1 d=0.0948935 t=16526
ba diao 	拔掉	c=1 d=0.00132678 t=16526
ba ga 	八嘎	c=2 d=0.71177 t=16526
ba gua 	八卦	c=2 d=0.000191714 t=16526
ba ma 	爸妈	c=0 d=8.74162e-08 t=16526
ba ni 	把你	c=2 d=0.000139144 t=16526
ba wo 	把我	c=1 d=1.15702e-10 t=16526
ba wo 	把握	c=2 d=3.23143e-05 t=16526
ba zha 	巴扎	c=0 d=2.03468e-05 t=16526
bai 	白	c=4 d=0.64421 t=16526
bai bai 	拜拜	c=1 d=0.00113061 t=16526
bai du 	百度	c=5 d=0.826959 t=16526
bai du yun 	百度云	c=1 d=0.000235217 t=16526
bai hua 	百花	c=1 d=0.286505 t=16526
bai jie 	白姐	c=1 d=0.0337087 t=16526
bai lan 	摆烂	c=2 d=8.05415e-05 t=16526
bai le 	白了	c=1 d=0.398519 t=16526
bai miao 	白描	c=0 d=1.67017e-06 t=16526
bai miao wen 	白描文	c=1 d=1.67854e-05 t=16526
bai piao 	白嫖	c=2 d=0.255381 t=16526
bai shi tong 	百事通	c=1 d=0.202909 t=16526
bai ye 	白夜	c=1 d=1.34034e-05 t=16526
ban 	办	c=2 d=0.044117 t=16526
ban 	半	c=2 d=0.644036 t=16526
ban 	版	c=3 d=0.211351 t=16526
ban 	班	c=4 d=0.873716 t=16526
ban ben 	版本	c=16 d=0.177288 t=16526
ban er 	伴儿	c=0 d=0.000104368 t=16526
ban er bu neng 	伴儿不能	c=2 d=0.0103063 t=16526
ban fa 	办法	c=2 d=0.606531 t=16526
ban ge 	半个	c=3 d=0.843665 t=16526
ban ge 	搬个	c=1 d=0.00012341 t=16526
ban ge xiao shi 	半个小时	c=1 d=0.131994 t=16526
ban ge yue 	半个月	c=1 d=0.00173804 t=16526
ban gong shi 	办公室	c=1 d=0.01649 t=16526
ban jia 	半价	c=1 d=0.0889216 t=16526
ban jia 	搬家	c=1 d=0.00188279 t=16526
ban jiao 	半角	c=2 d=0.00913773 t=16526
ban ju 	半句	c=1 d=9.37546e-07 t=16526
ban le jia 	搬了家	c=1 d=0.000189713 t=16526
ban nian 	半年	c=1 d=1.00119e-14 t=16526
ban tian 	半天	c=6 d=0.136716 t=16526
ban zhuan 	板砖	c=1 d=1.28512e-10 t=16526
bang 	帮	c=1 d=9.42406e-09 t=16526
bang ding 	绑定	c=1 d=0.67368 t=16526
bang mang 	帮忙	c=1 d=1.92613e-06 t=16526
bang ni 	帮你	c=2 d=0.0301264 t=16526
bang wo 	帮我	c=3 d=9.75784e-08 t=16526
bang zhu 	帮助	c=3 d=3.5449e-06 t=16526
bao 	包	c=13 d=0.190887 t=16526
bao 	堡	c=1 d=9.56323e-05 t=16526
bao 	宝	c=2 d=0.618644 t=16526
bao 	报	c=3 d=0.99005 t=16526
bao 	爆	c=1 d=0.440432 t=16526
bao c 	包℃	c=1 d=0.000263884 t=16526
bao chi 	保持	c=1 d=5.67182e-06 t=16526
bao cun 	保存	c=8 d=1.25395 t=16526
bao cuo 	报错	c=4 d=0.183599 t=16526
bao fu 	包袱	c=1 d=6.43139e-14 t=16526
bao gao 	报告	c=1 d=2.61979e-07 t=16526
bao guan li qi 	包管理器	c=2 d=2.0364e-12 t=16526
bao guo 	包裹	c=1 d=7.56041e-05 t=16526
bao han 	包含	c=2 d=1.18612e-08 t=16526
bao huo 	保活	c=1 d=0.0225956 t=16526
bao jia 	报价	c=1 d=4.56275e-05 t=16526
bao jiao zi 	包饺子	c=1 d=0.000305061 t=16526
bao lei ji 	堡垒机	c=5 d=0.00816852 t=16526
bao liu 	保留	c=3 d=0.00456412 t=16526
bao lu 	暴露	c=1 d=0.860708 t=16526
bao luan 	暴乱	c=1 d=0.008396 t=16526
bao qian 	抱歉	c=1 d=0.00100276 t=16526
bao shi 	报时	c=1 d=0.000761668 t=16526
bao xiao dan 	报销单	c=2 d=0.00106577 t=16526
bao zheng 	保证	c=1 d=0.000713734 t=16526
bao zhuang dai 	包装袋	c=1 d=0.000357992 t=16526
bei 	北	c=1 d=1.97079e-11 t=16526
bei 	呗	c=5 d=0.38317 t=16526
bei 	杯	c=1 d=0.83527 t=16526
bei 	背	c=1 d=9.16609e-06 t=16526
bei 	被	c=14 d=1.72823 t=16526
bei an 	备案	c=20 d=2.99259 t=16526
bei bao 	背包	c=3 d=2.61567e-05 t=16526
bei fen 	备份	c=5 d=0.0284595 t=16526
bei feng 	北风	c=3 d=0.858628 t=16526
bei jing 	北京	c=1 d=3.79212e-05 t=16526
bei ke 	贝壳	c=1 d=9.9569e-09 t=16526
bei lin 	北林	c=6 d=0.676503 t=16526
bei su 	倍速	c=1 d=0.0298969 t=16526
bei wei 	卑微	c=1 d=8.96292e-07 t=16526
bei yong 	备用	c=1 d=0.00269866 t=16526
bei zhe 	背着	c=2 d=2.21298e-05 t=16526
bei zhu 	备注	c=4 d=0.00134332 t=16526
bei zi 	杯子	c=1 d=0.826959 t=16526
ben 	本	c=0 d=2.12195e-13 t=16526
ben di 	本地	c=14 d=0.530904 t=16526
ben ke 	本科	c=2 d=0.522046 t=16526
ben lai 	本来	c=4 d=0.975794 t=16526
ben shen 	本身	c=1 d=1.02902e-13 t=16526
ben shi pin 	本视频	c=1 d=8.78993e-13 t=16526
beng le 	崩了	c=1 d=0.00296761 t=16526
bi 	必	c=1 d=0.0466538 t=16526
bi 	比	c=8 d=0.831237 t=16526
bi 	逼	c=2 d=0.367879 t=16526
bi jiao 	比较	c=10 d=0.657047 t=16526
bi jiao ao 	比骄傲	c=1 d=0.028297 t=16526
bi jiao duo 	比较多	c=2 d=0.0306979 t=16526
bi jing 	毕竟	c=1 d=4.24402e-06 t=16526
bi ru 	比如	c=7 d=1.21163 t=16526
bi ruo 	必若	c=1 d=0.360595 t=16526
bi tian 	必填	c=9 d=4.12016 t=16526
bi wo 	比我	c=2 d=0.0231676 t=16526
bi xu 	必须	c=2 d=0.0997588 t=16526
bi yao 	必要	c=3 d=0.278037 t=16526
bi ye 	毕业	c=1 d=4.15136e-11 t=16526
bi zhe 	比着	c=2 d=0.156453 t=16526
bi zi 	鼻子	c=1 d=0.621885 t=16526
bian 	变	c=3 d=0.198233 t=16526
bian 	边	c=5 d=0.250324 t=16526
bian 	遍	c=1 d=1.71805e-14 t=16526
bian cheng 	变成	c=3 d=0.159637 t=16526
bian cheng 	编程	c=1 d=1.45573e-06 t=16526
bian geng 	变更	c=1 d=0.209088 t=16526
bian hao 	编号	c=7 d=0.429557 t=16526
bian hua 	变化	c=1 d=0.67032 t=16526
bian ji 	编辑	c=15 d=1.51971 t=16526
bian ji qi 	编辑器	c=3 d=0.000706632 t=16526
bian kan 	边看	c=1 d=6.23707e-06 t=16526
bian liang 	变量	c=13 d=0.0253392 t=16526
bian ma 	编码	c=4 d=0.628468 t=16526
bian nong 	变弄	c=1 d=0.000182274 t=16526
bian nong 	边弄	c=1 d=0.000183188 t=16526
bian tai 	变态	c=0 d=4.85744e-07 t=16526
bian wei 	变为	c=1 d=0.193013 t=16526
bian yi 	编译	c=3 d=0.499192 t=16526
bian zuo 	边做	c=1 d=0.000181365 t=16526
biao 	标	c=3 d=0.000349153 t=16526
biao 	表	c=16 d=2.24858 t=16526
biao ji 	标记	c=2 d=0.00078432 t=16526
biao qian 	标签	c=2 d=0.202909 t=16526
biao qian ye 	标签页	c=1 d=0.000739157 t=16526
biao shi 	表识	c=1 d=0.142987 t=16526
