ruler	 尺子
pencil	 铅笔
eraser	 橡皮
crayon	 蜡笔
bag	 包
pen	 钢笔
pencil box	 铅笔盒
book	 书
no	 不
your	 你（们）的
red	 红色；红色的
green	 绿色；绿色的
yellow	 黄色；黄色的
blue	 蓝色；蓝色的
black	 黑色；黑色的
brown	 棕色；棕色的
white	 白色；白色的
orange	 橙色；橙色的
OK	 好；行
mum	 妈妈
face	 脸
ear	 耳朵
eye	 眼睛
nose	 鼻子
mouth	 嘴
arm	 胳膊
hand	 手
head	 头
body	 身体
leg	 腿
foot	 脚
school	 学校
duck	 鸭子
pig	 猪
cat	 猫
bear	 熊
dog	 狗
elephant	 大象
monkey	 猴子
bird	 鸟
tiger	 老虎
panda	 大熊猫
zoo	 动物园
funny	 滑稽的；好笑的
bread	 面包
juice	 果汁
egg	 蛋
milk	 牛奶
water	 水
cake	 蛋糕
fish	 鱼
rice	 米饭
one	 一
two	 二
three	 三
four	 四
five	 五
six	 六
seven	 七
eight	 八
nine	 九
ten	 十
brother	 兄；弟
plate	 盘子
UK	 英国
Canada	 加拿大
USA	 美国
China	 中国
she	 她；（指雌性动物）它
student	 学生, 学者
pupil	 小学生
he	 他；它（指雄性动物）
teacher	 教师, 老师, 导师
boy	 男孩, 儿子, 孩子气的人, 男仆
and	 和
girl	 女孩, 少女, 女仆, (商店等的)女工作人员
new	 新的，新近的；新来的；不熟悉的
friend	 朋友，友人；支持者，同情者
today	 今天；现在，目前
father	 父亲；爸爸
dad	 （口语）爸爸；爹爹
man	 男人
woman	 女人
mother	 母亲；妈妈
sister	 姐；妹
brother	 兄；弟
grandmother	 （外）祖母
grandma	 （口语）（外）祖母
grandfather	 （外）祖父
grandpa	 （口语）（外）祖父
family	 家；家庭
thin	 瘦的
fat	 胖的；肥的
tall	 高的
short	 矮的；短的
long	 长的
small	 小的
big	 大的
giraffe	 长颈鹿
so	 这么；那么
children	 儿童
child	 儿童
tail	 尾巴
on	 在⋯⋯上
in	 在⋯⋯里
under	 在⋯⋯下面
chair	 椅子
desk	 书桌
cap	 帽子
ball	 球
car	 小汽车
boat	 小船
map	 地图
toy	 玩具
box	 盒；箱
pear	 梨　
apple	 苹果　
orange	 橙子
banana	 香蕉
watermelon	 西瓜
strawberry	 草莓　
grape	 葡萄
buy	 买
fruit	 水果
eleven	 十一
twelve	 十二
thirteen	 十三
fourteen	 十四
fifteen	 十五
sixteen	 十六　
seventeen	 十七
eighteen	 十八
nineteen	 十九
twenty	 二十
kite	 风筝
beautiful	 美丽的
classroom	 教室
window	 窗户
blackboard	 黑板
light	 电灯
picture	 图画
door	 门
teacher's desk	 讲台
computer	 计算机
fan	 风扇
wall	 墙壁
floor	 地板
really	 真的
near	 距离近
TV	 电视
clean	 打扫
help	 帮助
schoolbag	 书包
maths book	 数学书
English book	 英语书
Chinese book	 语文书
storybook	 故事书
candy	 糖果
notebook	 笔记本
toy	 玩具
key	 钥匙
wow	 呀
lost	 丢失
so much	 非常地
cute	 可爱的
strong	 强壮的
friendly	 友好的
quiet	 安静的
hair	 头发
shoe	 鞋
glasses	 眼镜
his	 他的
or	 或者
right	 对的
hat	 帽子
her	 她的
bedroom	 卧室
living room	 客厅
study	 书房
kitchen	 厨房
bathroom	 浴室
bed	 床
phone	 电话
table	 桌子
sofa	 长沙发
fridge	 冰箱
find	 找到
them	 他们
beef	 牛肉
chicken	 鸡肉
noodles	 面条
soup	 汤
vegetable	 蔬菜
chopsticks	 筷子
bowl	 碗
fork	 餐叉
knife	 刀
spoon	 匙,勺子
dinner	 正餐
ready	 准备好
help yourself	 为（自己）取用
pass	 给
try	 试
parents	 父母
cousin	 同辈表亲
uncle	 叔叔
aunt	 阿姨
baby brother	 小弟弟
doctor	 医生
cook	 厨师
driver	 司机
farmer	 农民
nurse	 护士
people	 人们
but	 但是
little	 小的
puppy	 小狗
football player	 足球运动员
job	 工作
basketball	 篮球
first floor	 一楼（美）；二楼（英）
second floor	 二楼
teacher's office	 教师办公室
library	 图书馆
playground	 操场
computer room	 计算机房
art room	 美术教室
music room	 音乐教室
next to	 紧邻
homework	 作业
class	 班级
forty	 四十
way	 方向
breakfast	 早餐
English class	 英语课
lunch	 午饭
music class	 音乐课
PE class	 体育课
dinner	 正餐
get up	 起床
go to school	 上学
go home	 回家
go to bed	 去睡觉
over	 结束
