尺子	ruler(.)
铅笔	pencil(.)
橡皮	eraser(.)
蜡笔	crayon(.)
包	bag(.)
钢笔	pen(.)
铅笔盒	pencil box(.)
书	book(.)
不	no(.)
你（们）的	your(.)
红色	red(.)
红色的	red(.)
绿色	green(.)
绿色的	green(.)
黄色	yellow(.)
黄色的	yellow(.)
蓝色	blue(.)
蓝色的	blue(.)
黑色	black(.)
黑色的	black(.)
棕色	brown(.)
棕色的	brown(.)
白色	white(.)
白色的	white(.)
橙色	orange(.)
橙色的	orange(.)
好	OK(.)
行	OK(.)
妈妈	mum(.)
脸	face(.)
耳朵	ear(.)
眼睛	eye(.)
鼻子	nose(.)
嘴	mouth(.)
胳膊	arm(.)
手	hand(.)
头	head(.)
身体	body(.)
腿	leg(.)
脚	foot(.)
学校	school(.)
鸭子	duck(.)
猪	pig(.)
猫	cat(.)
熊	bear(.)
狗	dog(.)
大象	elephant(.)
猴子	monkey(.)
鸟	bird(.)
老虎	tiger(.)
大熊猫	panda(.)
动物园	zoo(.)
滑稽的	funny(.)
好笑的	funny(.)
面包	bread(.)
果汁	juice(.)
蛋	egg(.)
牛奶	milk(.)
水	water(.)
蛋糕	cake(.)
鱼	fish(.)
米饭	rice(.)
一	one(.)
二	two(.)
三	three(.)
四	four(.)
五	five(.)
六	six(.)
七	seven(.)
八	eight(.)
九	nine(.)
十	ten(.)
兄	brother(.)
弟	brother(.)
盘子	plate(.)
英国	UK(.)
加拿大	Canada(.)
美国	USA(.)
中国	China(.)
她	she(.)
（指雌性动物）它	she(.)
学生, 学者	student(.)
小学生	pupil(.)
他	he(.)
它（指雄性动物）	he(.)
教师, 老师, 导师	teacher(.)
男孩, 儿子, 孩子气的人, 男仆	boy(.)
和	and(.)
女孩, 少女, 女仆, (商店等的)女工作人员	girl(.)
新的，新近的	new(.)
新来的	new(.)
不熟悉的	new(.)
朋友，友人	friend(.)
支持者，同情者	friend(.)
今天	today(.)
现在，目前	today(.)
父亲	father(.)
爸爸	father(.)
（口语）爸爸	dad(.)
爹爹	dad(.)
男人	man(.)
女人	woman(.)
母亲	mother(.)
妈妈	mother(.)
姐	sister(.)
妹	sister(.)
兄	brother(.)
弟	brother(.)
（外）祖母	grandmother(.)
（口语）（外）祖母	grandma(.)
（外）祖父	grandfather(.)
（口语）（外）祖父	grandpa(.)
家	family(.)
家庭	family(.)
瘦的	thin(.)
胖的	fat(.)
肥的	fat(.)
高的	tall(.)
矮的	short(.)
短的	short(.)
长的	long(.)
小的	small(.)
大的	big(.)
长颈鹿	giraffe(.)
这么	so(.)
那么	so(.)
儿童	children(.)
儿童	child(.)
