# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	60582
#@/user_id	windows11-caoayu-pc-i512400
Gothic 	Gothic 	c=1 d=0.000350903 t=60582
a 	啊	c=166 d=2.69497 t=60582
a 	啊 	c=0 d=0 t=60582
a 	阿	c=1 d=1.78695e-06 t=60582
a 	阿 	c=0 d=0 t=60582
a a a 	啊啊啊	c=1 d=7.76765e-29 t=60582
a a a 	啊啊啊 	c=0 d=0 t=60582
a ha 	啊哈	c=0 d=4.69436e-17 t=60582
a ha 	啊哈 	c=0 d=0 t=60582
a hong 	阿訇	c=0 d=6.13252e-14 t=60582
a li 	阿里	c=4 d=0.628135 t=60582
a li 	阿里 	c=0 d=0 t=60582
a li an 	阿利安	c=0 d=2.27391e-48 t=60582
a li an 	阿利安 	c=0 d=0 t=60582
a li an shi 	阿利安是	c=1 d=2.2853e-47 t=60582
a li an shi 	阿利安是 	c=0 d=0 t=60582
a li yun 	阿里雲	c=4 d=0.423162 t=60582
a li yun 	阿里雲 	c=0 d=0 t=60582
a yi 	阿姨	c=1 d=2.77736e-47 t=60582
a yi 	阿姨 	c=0 d=0 t=60582
ai 	唉	c=2 d=6.0412e-13 t=60582
ai 	唉 	c=0 d=0 t=60582
ai 	愛	c=3 d=0.133993 t=60582
ai 	愛 	c=0 d=0 t=60582
ai chi 	愛吃	c=1 d=0.000490542 t=60582
ai chi 	愛吃 	c=0 d=0 t=60582
ai da 	挨打	c=1 d=3.38017e-05 t=60582
ai kang 	艾康	c=1 d=1.16802e-33 t=60582
ai kang 	艾康 	c=0 d=0 t=60582
ai ni 	愛你	c=2 d=0.000115643 t=60582
ai ni 	愛你 	c=0 d=0 t=60582
ai qing 	爱情	c=2 d=4.78887e-07 t=60582
ai wan 	愛玩	c=0 d=9.33505e-16 t=60582
ai wan 	愛玩 	c=0 d=0 t=60582
ai zai shang 	爱在上	c=1 d=1.31577e-52 t=60582
ai zai shang 	爱在上 	c=0 d=0 t=60582
