# Rime user dictionary
#@/db_name	rime_ice
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	3578
#@/user_id	windows11-caoayu-pc-i512400
a 	啊	c=15 d=1.28074 t=3578
a 	啊 	c=0 d=0 t=3578
a 	阿 	c=0 d=0 t=3578
a a a 	啊啊啊 	c=0 d=0 t=3578
a ha 	啊哈 	c=0 d=0 t=3578
a li 	阿里 	c=0 d=0 t=3578
a li an 	阿利安 	c=0 d=0 t=3578
a li an shi 	阿利安是 	c=0 d=0 t=3578
a li yun 	阿里雲 	c=0 d=0 t=3578
a yi 	阿姨 	c=0 d=0 t=3578
ai 	唉 	c=0 d=0 t=3578
ai 	愛 	c=0 d=0 t=3578
ai chi 	愛吃 	c=0 d=0 t=3578
ai kang 	艾康 	c=0 d=0 t=3578
ai ni 	愛你 	c=0 d=0 t=3578
ai qing 	爱情	c=3 d=0.537309 t=3578
ai wan 	愛玩 	c=0 d=0 t=3578
ai zai shang 	爱在上 	c=0 d=0 t=3578
an 	安	c=1 d=0.106996 t=3578
an 	安 	c=0 d=0 t=3578
an 	按 	c=0 d=0 t=3578
an ge 	安格 	c=0 d=0 t=3578
an jian 	按鍵 	c=0 d=0 t=3578
an jian 	案件 	c=0 d=0 t=3578
an li shuo 	按理說 	c=0 d=0 t=3578
an niu 	按鈕 	c=0 d=0 t=3578
an niu 	按钮	c=1 d=0.166127 t=3578
an pai 	安排 	c=0 d=0 t=3578
an quan 	安全 	c=0 d=0 t=3578
an zhang 	案長 	c=0 d=0 t=3578
an zhao 	按照	c=1 d=0.00384878 t=3578
an zhao 	按照 	c=0 d=0 t=3578
an zhe 	按着 	c=0 d=0 t=3578
an zheng 	暗掙 	c=0 d=0 t=3578
an zhuan 	暗轉 	c=0 d=0 t=3578
an zhuang 	安装	c=1 d=0.0297478 t=3578
an zhuang 	安裝 	c=0 d=0 t=3578
an zhuang mu lu 	安裝目錄 	c=0 d=0 t=3578
an zhuang ruan jian 	安裝軟件 	c=0 d=0 t=3578
an zhuang wan 	安装完	c=1 d=0.0327124 t=3578
an zhuang wei zhi 	安裝位置 	c=0 d=0 t=3578
an zhuo 	安卓 	c=0 d=0 t=3578
ang 	昂	c=0 d=0.00261214 t=3578
ang 	昂 	c=0 d=0 t=3578
ao ao 	嗷嗷	c=2 d=0.961484 t=3578
ao ao 	嗷嗷 	c=0 d=0 t=3578
ao ye 	熬夜 	c=0 d=0 t=3578
apple 	Apple	c=0 d=0 t=3578
appleid 	Apple ID	c=0 d=0 t=3578
b 	b	c=2 d=0.971064 t=3578
ba 	八 	c=0 d=0 t=3578
ba 	吧	c=41 d=2.7958 t=3578
ba 	吧 	c=0 d=0 t=3578
ba 	巴 	c=0 d=0 t=3578
ba 	把	c=9 d=1.08891 t=3578
ba 	把 	c=0 d=0 t=3578
ba 	爸 	c=0 d=0 t=3578
ba bu 	八部 	c=0 d=0 t=3578
ba dian 	八點 	c=0 d=0 t=3578
ba ge yue 	八個月 	c=0 d=0 t=3578
ba gua 	八卦 	c=0 d=0 t=3578
ba jie 	八節 	c=0 d=0 t=3578
ba la 	巴拉 	c=0 d=0 t=3578
ba le 	罷了 	c=0 d=0 t=3578
ba ni 	把你 	c=0 d=0 t=3578
ba tian 	八天 	c=0 d=0 t=3578
ba wo 	把我 	c=0 d=0 t=3578
ba yue 	八月 	c=0 d=0 t=3578
bai 	白 	c=0 d=0 t=3578
bai 	百 	c=0 d=0 t=3578
bai bai 	拜拜 	c=0 d=0 t=3578
